venue,hr_l,hr_r,hits_l,hits_r,season,rolling_years
American Family Field,95,110,95,94,2026,3
Angel Stadium,96,111,98,99,2026,3
Busch Stadium,76,78,101,103,2026,3
Chase Field,77,105,104,106,2026,3
Citi Field,96,108,98,95,2026,3
Citizens Bank Park,134,99,102,103,2026,3
Comerica Park,100,106,101,99,2026,3
Coors Field,113,99,117,118,2026,3
Daikin Park,125,110,100,99,2026,3
Fenway Park,81,90,104,103,2026,3
Globe Life Field,94,89,95,92,2026,3
Great American Ball Park,126,116,101,97,2026,3
Kauffman Stadium,77,90,105,103,2026,3
loanDepot park,93,81,102,99,2026,3
Nationals Park,105,99,106,101,2026,3
Oracle Park,74,82,100,101,2026,3
Oriole Park at Camden Yards,121,98,104,105,2026,3
Petco Park,94,117,95,96,2026,3
PNC Park,96,72,103,102,2026,3
Progressive Field,99,82,97,99,2026,3
Rate Field,104,90,96,99,2026,3
Rogers Centre,107,110,99,103,2026,3
T-Mobile Park,97,97,92,88,2026,3
Target Field,97,100,103,105,2026,3
Tropicana Field,88,115,93,101,2026,3
Truist Park,98,91,101,102,2026,3
UNIQLO Field at Dodger Stadium,121,135,95,100,2026,3
Wrigley Field,98,100,97,92,2026,3
Yankee Stadium,117,119,95,96,2026,3
