venue,latitude,longitude,outfield_bearing,roof_type
American Family Field,43.028,-87.9712,70,retractable
Angel Stadium,33.8003,-117.8827,45,open
Busch Stadium,38.6226,-90.1928,70,open
Chase Field,33.4453,-112.0667,5,retractable
Citi Field,40.7571,-73.8458,55,open
Citizens Bank Park,39.9061,-75.1665,35,open
Comerica Park,42.339,-83.0485,35,open
Coors Field,39.7559,-104.9942,20,open
Daikin Park,29.7573,-95.3555,30,retractable
Minute Maid Park,29.7573,-95.3555,30,retractable
Fenway Park,42.3467,-71.0972,60,open
Globe Life Field,32.7473,-97.084,25,retractable
Great American Ball Park,39.0979,-84.5082,70,open
Kauffman Stadium,39.0517,-94.4803,45,open
loanDepot park,25.7781,-80.2197,80,retractable
Nationals Park,38.873,-77.0074,35,open
Oracle Park,37.7786,-122.3893,70,open
Oriole Park at Camden Yards,39.2839,-76.6217,25,open
Petco Park,32.7076,-117.157,25,open
PNC Park,40.4469,-80.0057,25,open
Progressive Field,41.4962,-81.6852,30,open
Rate Field,41.8299,-87.6338,120,open
Guaranteed Rate Field,41.8299,-87.6338,120,open
Rogers Centre,43.6414,-79.3894,25,retractable
T-Mobile Park,47.5914,-122.3325,60,retractable
Target Field,44.9817,-93.2776,35,open
Tropicana Field,27.7682,-82.6534,30,fixed
Truist Park,33.8908,-84.4677,35,open
UNIQLO Field at Dodger Stadium,34.0739,-118.24,30,open
Dodger Stadium,34.0739,-118.24,30,open
Wrigley Field,41.9484,-87.6553,30,open
Yankee Stadium,40.8296,-73.9262,70,open
Sutter Health Park,38.5802,-121.5136,40,open
Oakland Coliseum,37.7516,-122.2005,55,open
George M. Steinbrenner Field,27.9803,-82.5069,20,open
